prov,votes,cpc,lpc,ndp,gpc,bq,other
10,256504,26469,165418,54120,2772,0,7725
11,87484,16900,51002,14006,5281,0,295
12,523628,93697,324816,85468,17630,0,2017
13,441786,112070,227764,81105,20551,0,296
24,4241487,709164,1515673,1075366,95395,821144,24745
35,6541572,2293393,2929393,1085916,185992,0,46878
46,600503,224527,268280,81960,18944,0,6792
47,551895,267937,131681,138574,11527,0,2176
48,1930641,1150101,473416,224800,48742,0,33582
59,2364776,708010,829816,615156,194847,0,16947
60,20291,4928,10887,3943,533,0,0
61,18973,3481,9172,5783,537,0,0
62,11928,2956,5619,3171,182,0,0
